ID,KANTON,dH,LATITUDE,LONGITUDE,feather_growth_date,feather_sampling_date
2017K115164,NE,-4.75796,46.94273292,6.477491222,2016-06-15,2017-04-25
2017K116314,NE,-4.61312,46.9337012,6.472163199,2016-06-15,2017-05-26
2018K122033,VD,-4.349,46.8479389,6.504201,2017-06-15,2018-05-22
2017K116312_B,NE,-3.1988,46.94531182,6.54493577,2016-06-15,2017-06-20
2015K112952,NE,-3.13916,46.95540274,6.507350821,2014-06-15,2015-06-16
2018K122027,NE,-3.13916,46.890217,6.621054,2017-06-15,2018-04-18
2017K115155,NE,-1.98896,46.93615083,6.511690059,2016-06-15,2017-05-12
2018K122029,NE,-1.82708,46.942127,6.478576,2017-06-15,2018-04-19
2017K116318,NE,-1.34144,47.02231697,6.833017792,2016-06-15,2017-06-15
2017K116310,NE,-1.0688,46.93919003,6.745657059,2016-06-15,2017-05-04
2018K122046,NE,-0.864320000000001,46.9898127,6.6755529,2018-06-15,2018-07-08
2017K116302,NE,-0.267920000000002,46.93930673,6.745616153,2016-06-15,2017-04-12
2018K122021,NE,0.68632,46.9898041,6.6756187,2017-06-15,2018-04-05
2018K115157,NE,1.19752,46.9355909,6.4754388,2017-06-15,2018-05-24
2017K73992,NE,2.01544,46.94273292,6.477491222,2016-06-15,2017-04-25
2017K116322,NE,-10.72196,46.99526174,6.697155634,2017-06-15,2017-09-22
2017K116325,VD,-3.53108,46.86714842,6.579195263,2017-06-15,2017-09-28
2015K112955,NE,-53.20268,46.939316,6.74558,2014-05-15,2015-06-20
2015K112957,NE,-49.8458,46.939316,6.74558,2014-05-15,2015-06-20
2015K112953,NE,-45.5432,46.939316,6.74558,2014-05-15,2015-06-19
2015K112961,NE,-44.12888,46.939316,6.74558,2014-05-15,2015-06-27
2015K112956,NE,-43.55804,46.939316,6.74558,2014-05-15,2015-06-20
2015K112954,NE,-39.30656,46.939316,6.74558,2014-05-15,2015-06-20
2018K122045,NE,-37.0232,46.9891267,6.6765617,2017-05-15,2018-07-07
2015K112951,NE,-36.80168,46.93520428,6.751513095,2014-05-15,2015-06-13
2015K112962,NE,-35.83892,46.93218631,6.75679132,2014-05-15,2015-08-13
2018K122044,NE,-26.8844,46.9889235,6.6757627,2017-05-15,2018-07-06
2016K112979,NE,-1.63112,46.92916998,6.459769513,2016-08-15,2016-10-23
